accession	reference_length	covered_bases	reads_aligned	mean_coverage	RPKMF	sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	sample_ID	total_filtered_reads_in_sample
MH355567.1	35217	3213	115	0.5004705	0.11498	"Human adenovirus 7 strain BJ/CHN/2018, complete genome"	10519	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 7	Human adenovirus 7	W162	28400284
AY737797.1	34775	698	11	0.06425993	0.0111379	"Human adenovirus type 34 strain Compton, complete genome"	10548	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus B	Human adenovirus 34	Human adenovirus 34	W162	28400284
AC_000017.1	36001	10301	537	2.154333	0.525215	"Human adenovirus type 1, complete genome"	10533	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 1	Human adenovirus 1	W162	28400284
AC_000007.1	35937	14516	712	2.9530556	0.697614	"Human adenovirus 2, complete genome"	10515	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 2	Human adenovirus 2	W162	28400284
AC_000008.1	35938	14683	768	3.210266	0.752462	"Human adenovirus 5, complete genome"	28285	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus C	Human adenovirus 5	Human adenovirus 5	W162	28400284
AB746853.1	34978	8556	861	3.70004	0.866733	"Human adenovirus 8 DNA, complete genome, strain: Trim variant"	31545	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D8	Human adenovirus D8	W162	28400284
JQ326209.1	35153	31270	15600	66.53824	15.6257	"Human adenovirus 19, complete genome"	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	W162	28400284
AB448776.1	35215	27901	9028	38.26063	9.02695	"Human adenovirus 37 genomic DNA, complete genome, isolate: 1991"	52275	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus D37	Human adenovirus D37	W162	28400284
NC_003266.2	35994	17871	1476	6.107075	1.44389	"Human adenovirus E, complete genome"	130308	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus E	unclassified Human mastadenovirus E subspecies/strain	unclassified Human mastadenovirus E strain	W162	28400284
KX514417.1	7828	460	6	0.117218025	0.0269884	"Human papillomavirus 39 isolate 16B, complete genome"	10588	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	human papillomavirus 39	human papillomavirus 39	W162	28400284
MT783416.1	7825	731	27	0.52091205	0.121495	"Human papillomavirus 56 strain kyd-s0256, complete genome"	10596	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 6	human papillomavirus 56	human papillomavirus 56	W162	28400284
KU298928.1	7816	651	14	0.2655883	0.0630697	"Human papillomavirus 66 isolate 118A.66, complete genome"	37119	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 6	human papillomavirus 66	human papillomavirus 66	W162	28400284
KX514431.1	7809	223	6	0.15511164	0.0270541	"Human papillomavirus 68 isolate 295, complete genome"	45240	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 7	human papillomavirus 68	human papillomavirus 68	W162	28400284
NC_003663.2	224499	147	0	0.007176319	0	"Cowpox virus, complete genome"	10243	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Cowpox virus	unclassified Cowpox virus subspecies/strain	unclassified Cowpox virus strain	W162	28400284
NC_003310.1	196858	289	0	0.003767005	0	"Monkeypox virus Zaire-96-I-16, complete genome"	10244	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae	Orthopoxvirus	Monkeypox virus	unclassified Monkeypox virus subspecies/strain	unclassified Monkeypox virus strain	W162	28400284
NC_007455.1	5299	5299	1382	40.653526	9.18314	"Primate bocaparvovirus 1 isolate st2, complete genome"	1511871	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	unclassified Primate bocaparvovirus 1 subspecies/strain	unclassified Primate bocaparvovirus 1 strain	W162	28400284
NC_012564.1	5242	5242	23798	684.314	159.853	"Human bocavirus 3, complete genome"	638313	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 1	Human bocavirus 3	Human bocavirus 3	W162	28400284
NC_012042.1	5196	4212	5556	159.50851	37.6505	"Human bocavirus 2c PK isolate PK-5510, complete genome"	1511882	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 2c PK	Human bocavirus 2c PK	W162	28400284
NC_012729.2	5104	1028	88	2.672184	0.607085	"Human bocavirus 4 NI strain HBoV4-NI-385, complete genome"	1511883	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Primate bocaparvovirus 2	Human bocavirus 4 NI	Human bocavirus 4 NI	W162	28400284
NC_026438.1	10878	4187	56	0.8012677	0.181266	influenza A H1N1 all segments	641809	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/California/07/2009(H1N1))	Influenza A virus (A/California/07/2009(H1N1))	W162	28400284
NC_007373.1	11286	2059	31	0.42358118	0.0967161	influenza A H3N2 all segments	335341	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Alphainfluenzavirus	Influenza A virus	Influenza A virus (A/New York/392/2004(H3N2))	Influenza A virus (A/New York/392/2004(H3N2))	W162	28400284
NC_045512.2	29903	817	9	0.046213828	0.0105975	"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome"	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	Severe acute respiratory syndrome coronavirus 2	Severe acute respiratory syndrome coronavirus 2	W162	28400284
MG212488.1	7435	205	1	0.062182568	0.00473583	"Human poliovirus 2 isolate 10, complete genome"	12083	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus C	Poliovirus 2	Poliovirus 2	W162	28400284
KY316160.1	34169	34169	139328	613.11444	143.577	"Human adenovirus 41 isolate SH/2015/D16, complete genome"	10524	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	Human adenovirus 41	Human adenovirus 41	W162	28400284
L19443.1	34214	13287	5881	25.826239	6.05236	"Human adenovirus F, complete genome"	130309	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus F	unclassified Human mastadenovirus F subspecies/strain	unclassified Human mastadenovirus F strain	W162	28400284
AB008298.1	2359	708	41	4.7550926	0.611974	"Human rotavirus 4 VP4 gene, complete cds, strain: 88-104"	35336	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G4	Rotavirus G4	W162	28400284
AB008673.1	613	585	312	81.88121	17.9214	"Human rotavirus C mRNA for NSP4, complete cds"	10943	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus C	Human rotavirus C	Human rotavirus C	W162	28400284
AB010145.1	8251	1854	85	1.5877053	0.362735	"Aichi virus genomic RNA, complete genome"	1313215	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Kobuvirus	Aichivirus A	Aichi virus 1	Aichi virus 1	W162	28400284
AB017613.1	3818	233	4	0.49618322	0.0368894	"Torque teno virus 16 DNA, complete genome, isolate: TUS01"	687355	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 16	unclassified Torque teno virus 16 subspecies/strain	unclassified Torque teno virus 16 strain	W162	28400284
AB027021.1	7871	182	1	0.045460433	0.0044735	"Human papillomavirus type 82 DNA, complete genome"	129724	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 5	human papillomavirus 82	human papillomavirus 82	W162	28400284
AB038621.1	3676	150	5	0.21270561	0.047893	"Torque teno virus 29 ORF2, ORF1, ORF3 genes, complete cds, isolate: TTVyon-KC009"	687368	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 29	unclassified Torque teno virus 29 subspecies/strain	unclassified Torque teno virus 29 strain	W162	28400284
AB054688.1	5865	134	2	0.027296588	0.0120071	"Squash mosaic virus RNA1, complete sequence"	12263	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Secoviridae	Comovirus	Squash mosaic virus	unclassified Squash mosaic virus subspecies/strain	unclassified Squash mosaic virus strain	W162	28400284
AB060597.1	3246	470	33	1.0855943	0.357967	"Torque teno virus 24 ORF4, ORF3, ORF2, ORF1 genes, complete cds, clone: SAa-01"	687363	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 24	unclassified Torque teno virus 24 subspecies/strain	unclassified Torque teno virus 24 strain	W162	28400284
AB064605.1	3759	296	160	5.3599334	1.49874	"Torque teno virus 12 DNA, complete genome, isolate: CT44F"	687351	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 12	unclassified Torque teno virus 12 subspecies/strain	unclassified Torque teno virus 12 strain	W162	28400284
AB076001.1	2878	571	11	0.6019062	0.13458	"Torque teno sus virus 1 ORF3, ORF2, ORF1 genes, complete cds, isolate: Sd-TTV31"	687386	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Iotatorquevirus	Torque teno sus virus 1a	unclassified Torque teno sus virus 1a subspecies/strain	unclassified Torque teno sus virus 1a strain	W162	28400284
AB186897.1	2525	1270	41	2.6261053	0.571742	"Human picobirnavirus RNA segment 1 genomic RNA, complete sequence"	145856	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Picobirnaviridae	Orthopicobirnavirus	Orthopicobirnavirus hominis	Human picobirnavirus	Human picobirnavirus	W162	28400284
AB303560.1	3175	186	2	0.061487604	0.0221801	"Torque teno midi virus 10 DNA, complete genome, isolate: MDJN14"	2065051	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gammatorquevirus	Torque teno midi virus 10	unclassified Torque teno midi virus 10 subspecies/strain	unclassified Torque teno midi virus 10 strain	W162	28400284
AB308374.1	6673	4452	931	21.89698	4.91254	"Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347"	1239565	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	unclassified Mamastrovirus 1 subspecies/strain	unclassified Mamastrovirus 1 strain	W162	28400284
AB623037.2	7442	1644	24	0.48230937	0.113553	"Sapovirus Hu/OH08021/2008/JP genomic RNA, complete genome"	1003429	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/OH08021/2008/JP	Sapovirus Hu/OH08021/2008/JP	W162	28400284
AB646346.1	7326	150	3	0.06270903	0.0144189	"Human papillomavirus type 126 DNA, complete genome"	1055684	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Gammapapillomavirus	Gammapapillomavirus 11	Human papillomavirus 126	Human papillomavirus 126	W162	28400284
AB767295.2	5181	254	0	0.2806599	0	"Yellow baboon polyomavirus 2 DNA, complete genome, isolate: BS94/BK94"	1286214	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secupacynocephalus	Yellow baboon polyomavirus 2	Yellow baboon polyomavirus 2	W162	28400284
AB767299.2	5167	237	0	0.18417381	0	"Chlorocebus pygerythrus polyomavirus 2 DNA, complete genome, isolate: VMK96"	1891758	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus secuchlopygerythrus	unclassified Betapolyomavirus secuchlopygerythrus subspecies/strain	unclassified Betapolyomavirus secuchlopygerythrus strain	W162	28400284
AB825953.1	149459	211	0	0.0023106444	0	"Fruit bat alphaherpesvirus 1 DNA, complete genome"	1343901	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Simplexvirus	Pteropodid alphaherpesvirus 1	Fruit bat alphaherpesvirus 1	Fruit bat alphaherpesvirus 1	W162	28400284
AB847987.1	4733	620	5	0.15164739	0.0371972	"Bufavirus-3 genes for NS1, putative VP1, hypothetical protein, VP2, complete cds, strain: BTN-63"	1391667	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	unclassified Parvoviridae genus	Bufavirus-3	unclassified Bufavirus-3 subspecies/strain	unclassified Bufavirus-3 strain	W162	28400284
AC090446.27	170275	132	0	0.0038795003	0	"Baboon cytomegalovirus OCOM4-37 clone bacmv, WORKING DRAFT SEQUENCE, 22 unordered pieces"	153301	Viruses	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Cytomegalovirus	Papiine betaherpesvirus 3	Baboon cytomegalovirus OCOM4-37	Baboon cytomegalovirus OCOM4-37	W162	28400284
AF033808.1	9392	377	5	0.08115127	0.0187452	"Rous sarcoma virus, complete genome"	11886	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus	Rous sarcoma virus	unclassified Rous sarcoma virus subspecies/strain	unclassified Rous sarcoma virus strain	W162	28400284
AF033809.1	3392	295	2	0.09099321	0.0207612	"Avian myelocytomatosis virus 29, complete genome"	11868	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Alpharetrovirus	Avian myelocytomatosis virus 29	unclassified Avian myelocytomatosis virus 29 subspecies/strain	unclassified Avian myelocytomatosis virus 29 strain	W162	28400284
AF036710.1	4936	4911	2244	70.572716	16.0076	"Rat parvovirus 1a nonstructural protein (NS1) and nonstructural protein (NS2) genes, complete cds"	74581	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Protoparvovirus	Rodent protoparvovirus 2	Rat parvovirus 1	Rat parvovirus 1	W162	28400284
AF043303.1	4679	4679	114643	3784.908	862.724	"Adeno-associated virus 2, complete genome"	10804	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	adeno-associated virus 2	adeno-associated virus 2	W162	28400284
AF063497.1	4718	728	24	1.0595447	0.179114	"Adeno-associated virus 1, complete genome"	85106	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 1	Adeno-associated virus - 1	W162	28400284
AF071878.1	1993	150	2	0.15626696	0.0353346	"Beak and feather disease virus, complete genome"	77856	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Beak and feather disease virus	unclassified Beak and feather disease virus subspecies/strain	unclassified Beak and feather disease virus strain	W162	28400284
AF083975.2	45063	184	1	0.0046089105	0.000781371	"Fowl adenovirus 9, complete genome"	172864	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Aviadenovirus	Fowl aviadenovirus D	Fowl adenovirus 9	Fowl adenovirus 9	W162	28400284
AF092924.1	8832	150	10	0.17277125	0.0398674	Sacbrood virus complete genome	89463	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Sacbrood virus	unclassified Sacbrood virus subspecies/strain	unclassified Sacbrood virus strain	W162	28400284
AF108105.1	35100	24204	6790	29.184835	6.81146	Human adenovirus type 17 complete genome	46922	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 17	Human adenovirus 17	W162	28400284
AF109397.1	1768	200	1	0.123609394	0.0199157	"Bovine circovirus, complete genome"	85542	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Porcine circovirus 2	Bovine circovirus	Bovine circovirus	W162	28400284
AF144801.1	751	138	0	1.6439267	0	"Equine rotavirus strain H-2 nonstructural protein NSP4 gene, complete cds"	10939	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Equine rotavirus	Equine rotavirus strain H-2	Equine rotavirus strain H-2	W162	28400284
AF218266.2	3909	1249	77	2.9851024	0.693589	"Infectious hypodermal and hematopoietic necrosis virus, complete genome"	1513224	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Penstyldensovirus	Decapod penstyldensovirus 1	unclassified Decapod penstyldensovirus 1 subspecies/strain	unclassified Decapod penstyldensovirus 1 strain	W162	28400284
AF252610.1	2037	1735	374	28.284578	6.46484	"Columbid circovirus (CoCV), complete genome"	126070	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	Circovirus	Pigeon circovirus	Columbid circovirus	Columbid circovirus	W162	28400284
AF260508.1	6759	5000	3780	86.82433	19.6919	"Human astrovirus type 8, complete genome"	43358	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Mamastrovirus 1	Human astrovirus 8	Human astrovirus 8	W162	28400284
AF289262.1	32621	4627	32	0.15503064	0.0345406	"Porcine adenovirus 5, complete genome"	45370	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Porcine mastadenovirus C	Porcine adenovirus 5	Porcine adenovirus 5	W162	28400284
AF293960.1	7948	206	1	0.027955886	0.00443016	"Human papillomavirus type 84, complete genome"	150546	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 84	human papillomavirus 84	W162	28400284
AF345526.1	3312	857	109	5.1739407	1.15881	"Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds"	687352	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Alphatorquevirus	Torque teno virus 13	unclassified Torque teno virus 13 subspecies/strain	unclassified Torque teno virus 13 strain	W162	28400284
AF349909.1	7983	300	6	0.1148985	0.0264644	"Human papillomavirus type 86 candidate, complete genome"	171370	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 86	human papillomavirus 86	W162	28400284
AF356697.1	8072	7806	404	7.5800304	1.76229	"Porcine endogenous retrovirus class E clone P14.1, complete genome"	168238	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	Gammaretrovirus	Porcine type-C oncovirus	Porcine endogenous retrovirus E	Porcine endogenous retrovirus E	W162	28400284
AF371337.2	13350	291	2	0.022045454	0.00527504	"Human metapneumovirus isolate 00-1, complete genome"	162145	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Pneumoviridae	Metapneumovirus	Human metapneumovirus	unclassified Human metapneumovirus subspecies/strain	unclassified Human metapneumovirus strain	W162	28400284
AF375296.1	5002	300	8	0.24629019	0.0563149	"Casphalia extranea densovirus nonstructural protein 1 (NS1), nonstructural protein 2 (NS2), and viral protein 1-4 (VP) genes, complete cds"	180586	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Iteradensovirus	Lepidopteran iteradensovirus 2	Casphalia extranea densovirus	Casphalia extranea densovirus	W162	28400284
AF401755.1	2359	2316	2665	181.42418	39.7783	"Human rotavirus G2 strain KO-2 VP4 gene, complete cds"	73034	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G2	Rotavirus G2	W162	28400284
AF406967.1	5276	808	18	0.5376512	0.120128	"Bovine parvovirus 3 putative non-structural protein and putative capsid protein genes, complete cds"	172297	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Erythroparvovirus	Ungulate erythroparvovirus 1	Bovine parvovirus 3	Bovine parvovirus 3	W162	28400284
AF436128.1	8078	559	37	0.8308527	0.161278	"Human papillomavirus - cand89, complete genome"	202250	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Alphapapillomavirus	Alphapapillomavirus 3	human papillomavirus 89	human papillomavirus 89	W162	28400284
AF457102.1	15600	150	1	0.009708738	0.00225711	"HPIV-1 strain Washington/1964, complete genome"	188538	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Respirovirus	Human respirovirus 1	Human parainfluenza virus 1 strain Washington/1964	Human parainfluenza virus 1 strain Washington/1964	W162	28400284
AF495467.1	5097	440	11	0.32443905	0.0759898	"Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds"	329639	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Bocaparvovirus	Carnivore bocaparvovirus 1	Canine minute virus	Canine minute virus	W162	28400284
AF513851.1	4721	623	184	6.332531	1.37234	"Adeno-associated virus 7 nonstructural protein and capsid protein genes, complete cds"	202812	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 7	Adeno-associated virus - 7	W162	28400284
AF513852.1	4393	805	2342	82.12232	18.7717	"Adeno-associated virus 8 nonstructural protein and capsid protein genes, complete cds"	202813	Viruses	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	Dependoparvovirus	Adeno-associated dependoparvovirus A	Adeno-associated virus - 8	Adeno-associated virus - 8	W162	28400284
AF531420.1	7461	2685	60	1.3347012	0.28316	"Human papillomavirus type 92, complete genome"	211787	Viruses	Cossaviricota	Papovaviricetes	Zurhausenvirales	Papillomaviridae	Betapapillomavirus	Betapapillomavirus 4	Human papillomavirus type 92	Human papillomavirus type 92	W162	28400284
AJ238124.1	4302	1296	20	0.78684974	0.163696	"Avian endogenous retrovirus EAV-HP, complete genome, specific host: Gallus gallus domesticus(Chicken,line N)"	93465	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Retroviridae	unclassified Retroviridae genus	Avian endogenous retrovirus EAV-HP	unclassified Avian endogenous retrovirus EAV-HP subspecies/strain	unclassified Avian endogenous retrovirus EAV-HP strain	W162	28400284
AJ249939.1	7490	1192	48	0.969891	0.225651	"Human calicivirus SLV/Bristol/98/UK gene for polyprotein and ORF2, genomic RNA"	248942	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Bristol/1998/UK	Sapovirus Hu/Bristol/1998/UK	W162	28400284
