accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,reads_per_million,match,date_parsed,sample_type
NC_012729.2,5104,1028,88,2.672184,0.607085,"Human bocavirus 4 NI strain HBoV4-NI-385, complete genome",1511883,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2,Human bocavirus 4 NI,Human bocavirus 4 NI,W162,28400284,3.098560563690138,16,2025-03-31,Wastewater
NC_026438.1,10878,4187,56,0.8012677,0.181266,influenza A H1N1 all segments,641809,Viruses,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Influenza A virus (A/California/07/2009(H1N1)),Influenza A virus (A/California/07/2009(H1N1)),W162,28400284,1.971811267802815,16,2025-03-31,Wastewater
NC_007373.1,11286,2059,31,0.42358118,0.0967161,influenza A H3N2 all segments,335341,Viruses,Negarnaviricota,Insthoviricetes,Articulavirales,Orthomyxoviridae,Alphainfluenzavirus,Influenza A virus,Influenza A virus (A/New York/392/2004(H3N2)),Influenza A virus (A/New York/392/2004(H3N2)),W162,28400284,1.091538380390844,16,2025-03-31,Wastewater
KY316160.1,34169,34169,139328,613.11444,143.577,"Human adenovirus 41 isolate SH/2015/D16, complete genome",10524,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus F,Human adenovirus 41,Human adenovirus 41,W162,28400284,4905.8664342934035,16,2025-03-31,Wastewater
L19443.1,34214,13287,5881,25.826239,6.05236,"Human adenovirus F, complete genome",130309,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus F,unclassified Human mastadenovirus F subspecies/strain,unclassified Human mastadenovirus F strain,W162,28400284,207.07539403479205,16,2025-03-31,Wastewater
AB008298.1,2359,708,41,4.7550926,0.611974,"Human rotavirus 4 VP4 gene, complete cds, strain: 88-104",35336,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus G4,Rotavirus G4,W162,28400284,1.4436475353556322,16,2025-03-31,Wastewater
AB008673.1,613,585,312,81.88121,17.9214,"Human rotavirus C mRNA for NSP4, complete cds",10943,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus C,Human rotavirus C,Human rotavirus C,W162,28400284,10.985805634901396,16,2025-03-31,Wastewater
AB010145.1,8251,1854,85,1.5877053,0.362735,"Aichi virus genomic RNA, complete genome",1313215,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,Aichi virus 1,Aichi virus 1,W162,28400284,2.9929278172007012,16,2025-03-31,Wastewater
AB186897.1,2525,1270,41,2.6261053,0.571742,"Human picobirnavirus RNA segment 1 genomic RNA, complete sequence",145856,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Orthopicobirnavirus,Orthopicobirnavirus hominis,Human picobirnavirus,Human picobirnavirus,W162,28400284,1.4436475353556322,16,2025-03-31,Wastewater
AB308374.1,6673,4452,931,21.89698,4.91254,"Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347",1239565,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,unclassified Mamastrovirus 1 subspecies/strain,unclassified Mamastrovirus 1 strain,W162,28400284,32.7813623272218,16,2025-03-31,Wastewater
AF036710.1,4936,4911,2244,70.572716,16.0076,"Rat parvovirus 1a nonstructural protein (NS1) and nonstructural protein (NS2) genes, complete cds",74581,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 2,Rat parvovirus 1,Rat parvovirus 1,W162,28400284,79.0132943740985,16,2025-03-31,Wastewater
AF043303.1,4679,4679,114643,3784.908,862.724,"Adeno-associated virus 2, complete genome",10804,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,adeno-associated virus 2,adeno-associated virus 2,W162,28400284,4036.6849852628234,16,2025-03-31,Wastewater
AF108105.1,35100,24204,6790,29.184835,6.81146,Human adenovirus type 17 complete genome,46922,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus D,Human adenovirus 17,Human adenovirus 17,W162,28400284,239.08211622109133,16,2025-03-31,Wastewater
AF218266.2,3909,1249,77,2.9851024,0.693589,"Infectious hypodermal and hematopoietic necrosis virus, complete genome",1513224,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Penstyldensovirus,Decapod penstyldensovirus 1,unclassified Decapod penstyldensovirus 1 subspecies/strain,unclassified Decapod penstyldensovirus 1 strain,W162,28400284,2.7112404932288707,16,2025-03-31,Wastewater
AF252610.1,2037,1735,374,28.284578,6.46484,"Columbid circovirus (CoCV), complete genome",126070,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Pigeon circovirus,Columbid circovirus,Columbid circovirus,W162,28400284,13.168882395683086,16,2025-03-31,Wastewater
AF260508.1,6759,5000,3780,86.82433,19.6919,"Human astrovirus type 8, complete genome",43358,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 8,Human astrovirus 8,W162,28400284,133.09726057669002,16,2025-03-31,Wastewater
AF289262.1,32621,4627,32,0.15503064,0.0345406,"Porcine adenovirus 5, complete genome",45370,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Porcine mastadenovirus C,Porcine adenovirus 5,Porcine adenovirus 5,W162,28400284,1.1267492958873229,16,2025-03-31,Wastewater
AF345526.1,3312,857,109,5.1739407,1.15881,"Torque teno virus 13 isolate TCHN-A Orf2 and Orf1 genes, complete cds",687352,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Alphatorquevirus,Torque teno virus 13,unclassified Torque teno virus 13 subspecies/strain,unclassified Torque teno virus 13 strain,W162,28400284,3.837989789116193,16,2025-03-31,Wastewater
AF401755.1,2359,2316,2665,181.42418,39.7783,"Human rotavirus G2 strain KO-2 VP4 gene, complete cds",73034,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus G2,Rotavirus G2,W162,28400284,93.8370897981161,16,2025-03-31,Wastewater
AF436128.1,8078,559,37,0.8308527,0.161278,"Human papillomavirus - cand89, complete genome",202250,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 3,human papillomavirus 89,human papillomavirus 89,W162,28400284,1.302803873369717,16,2025-03-31,Wastewater
AF513851.1,4721,623,184,6.332531,1.37234,"Adeno-associated virus 7 nonstructural protein and capsid protein genes, complete cds",202812,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Adeno-associated virus - 7,Adeno-associated virus - 7,W162,28400284,6.478808451352107,16,2025-03-31,Wastewater
AF513852.1,4393,805,2342,82.12232,18.7717,"Adeno-associated virus 8 nonstructural protein and capsid protein genes, complete cds",202813,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A,Adeno-associated virus - 8,Adeno-associated virus - 8,W162,28400284,82.46396409275344,16,2025-03-31,Wastewater
AF531420.1,7461,2685,60,1.3347012,0.28316,"Human papillomavirus type 92, complete genome",211787,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 4,Human papillomavirus type 92,Human papillomavirus type 92,W162,28400284,2.1126549297887305,16,2025-03-31,Wastewater
AJ249939.1,7490,1192,48,0.969891,0.225651,"Human calicivirus SLV/Bristol/98/UK gene for polyprotein and ORF2, genomic RNA",248942,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,Sapporo virus,Sapovirus Hu/Bristol/1998/UK,Sapovirus Hu/Bristol/1998/UK,W162,28400284,1.6901239438309843,16,2025-03-31,Wastewater
AJ620210.1,7337,3600,109,2.2088494,0.523101,"Human papillomavirus type 95 E6 gene, E7 gene, E1 gene, E2 gene, E4 gene, L2 gene and L1 gene",260716,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 1,Human papillomavirus 95,Human papillomavirus 95,W162,28400284,3.837989789116193,16,2025-03-31,Wastewater
AX025718.1,3313,942,127,5.91938,1.34977,Sequence 75 from Patent WO0028039,687357,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Alphatorquevirus,Torque teno virus 18,unclassified Torque teno virus 18 subspecies/strain,unclassified Torque teno virus 18 strain,W162,28400284,4.471786268052813,16,2025-03-31,Wastewater
AY382778.1,7450,3658,188,3.6352055,0.888544,"Human papillomavirus type 93, complete genome",247268,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,Human papillomavirus 93,Human papillomavirus 93,W162,28400284,6.619652113338022,16,2025-03-31,Wastewater
AY382779.2,7438,4105,82,1.7984358,0.388182,"Human papillomavirus type 96, complete genome",247269,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 5,Human papillomavirus type 96,Human papillomavirus type 96,W162,28400284,2.8872950707112643,16,2025-03-31,Wastewater
AY386330.1,5596,5124,418,11.332538,2.63012,"B19 virus isolate J35, complete genome",10798,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 1,Human parvovirus B19,Human parvovirus B19,W162,28400284,14.718162677528154,16,2025-03-31,Wastewater
AY388617.1,4693,2545,151,4.964781,1.13293,"Bovine adeno-associated virus, complete genome",256548,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus B,Bovine adeno-associated virus,Bovine adeno-associated virus,W162,28400284,5.316848239968304,16,2025-03-31,Wastewater
AY646856.2,7500,3839,177,3.6591837,0.830978,"Sapovirus NongKhai-24/Thailand, complete genome",300717,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,Sapporo virus,Sapovirus NongKhai-24/Thailand,Sapovirus NongKhai-24/Thailand,W162,28400284,6.232332042876754,16,2025-03-31,Wastewater
AY720891.1,6723,2982,318,7.5393276,1.66549,"Human astrovirus type 4 strain Dresden, complete genome",35300,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 4,Human astrovirus 4,W162,28400284,11.197071127880271,16,2025-03-31,Wastewater
DQ002873.1,6321,2465,98,2.3673635,0.545906,"Penaeus monodon hepandensovirus 1, complete sequence",1513204,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Hepandensovirus,Decapod hepandensovirus 1,Penaeus monodon hepandensovirus 1,Penaeus monodon hepandensovirus 1,W162,28400284,3.4506697186549262,16,2025-03-31,Wastewater
DQ125333.1,7437,1535,33,0.68080145,0.15624,"Sapovirus Hu/Angelholm/SW278/2004/SE polyprotein mRNA, complete cds; and unknown genes",343513,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,Sapporo virus,Sapovirus Hu/Angelholm/SW278/2004/SE,Sapovirus Hu/Angelholm/SW278/2004/SE,W162,28400284,1.1619602113838017,16,2025-03-31,Wastewater
EF059918.1,750,706,2308,515.99335,108.356,"Human rotavirus G12 strain CAU 195 NSP4 gene, complete cds",215680,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus G12,Rotavirus G12,W162,28400284,81.26679296587315,16,2025-03-31,Wastewater
EF059923.1,2359,2327,6203,431.44547,92.5872,"Human rotavirus G9 strain CAU 202 VP4 gene, complete cds",42567,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Rotavirus G9,Rotavirus G9,W162,28400284,218.41330882465823,16,2025-03-31,Wastewater
EF422221.1,7562,7404,612,13.700351,2.84965,"Human papillomavirus type 107, complete genome",427343,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 107,Human papillomavirus 107,W162,28400284,21.54908028384505,16,2025-03-31,Wastewater
EF444549.1,5229,5229,1068,30.742863,7.19167,"WU Polyomavirus strain B0, complete genome",440266,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Betapolyomavirus quartihominis,WU Polyomavirus,WU Polyomavirus,W162,28400284,37.6052577502394,16,2025-03-31,Wastewater
EF467176.1,7326,2049,50,1.1123189,0.240315,"Human papillomavirus type 88, complete genome",337054,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 5,Human papillomavirus type 88,Human papillomavirus type 88,W162,28400284,1.760545774823942,16,2025-03-31,Wastewater
EU410347.1,7401,6092,262,6.0597157,1.24649,"Human papillomavirus FA75/KI88-03, complete genome",563190,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus FA75/KI88-03,Human papillomavirus FA75/KI88-03,W162,28400284,9.225259860077456,16,2025-03-31,Wastewater
EU410348.1,7423,5780,249,5.6658874,1.18113,"Human papillomavirus type 110, complete genome",518629,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 110,Human papillomavirus 110,W162,28400284,8.76751795862323,16,2025-03-31,Wastewater
EU410349.1,7384,5337,216,4.80094,1.03001,"Human papillomavirus type 111, complete genome",518630,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 111,Human papillomavirus 111,W162,28400284,7.605557747239429,16,2025-03-31,Wastewater
EU796884.1,7899,5420,218,4.2737126,0.971766,"Feline papillomavirus type 2 isolate Main Coon 2007, complete genome",568209,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Dyothetapapillomavirus,Dyothetapapillomavirus 1,Felis domesticus papillomavirus 2,Felis domesticus papillomavirus 2,W162,28400284,7.675979578232386,16,2025-03-31,Wastewater
FJ025921.1,36635,3080,120,0.52205014,0.115335,"Simian adenovirus 37.1, complete genome",585091,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus E,Simian adenovirus 37.1,Simian adenovirus 37.1,W162,28400284,4.225309859577461,16,2025-03-31,Wastewater
FJ222451.1,6171,3596,280,6.955323,1.59764,"Astrovirus MLB1, complete genome",568715,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Astrovirus MLB1,unclassified Astrovirus MLB1 subspecies/strain,unclassified Astrovirus MLB1 strain,W162,28400284,9.859056339014074,16,2025-03-31,Wastewater
FJ410797.2,6310,4551,289,7.083117,1.61267,"Penaeus monodon hepandensovirus 4, complete genome",1513208,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Hepandensovirus,Decapod hepandensovirus 1,Penaeus monodon hepandensovirus 4,Penaeus monodon hepandensovirus 4,W162,28400284,10.175954578482385,16,2025-03-31,Wastewater
FJ755404.1,6771,2495,143,3.5654736,0.743636,"Human astrovirus 1 Beijing/291/2007/CHN, complete genome",626180,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 1 Beijing/291/2007/CHN,Human astrovirus 1 Beijing/291/2007/CHN,W162,28400284,5.035160915996474,16,2025-03-31,Wastewater
FJ755405.1,6771,3458,304,7.166289,1.58088,"Human astrovirus 1 Beijing/293/2007/CHN, complete genome",626181,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 1,Human astrovirus 1 Beijing/293/2007/CHN,Human astrovirus 1 Beijing/293/2007/CHN,W162,28400284,10.704118310929566,16,2025-03-31,Wastewater
FJ810126.1,5759,5582,3735,93.75878,22.836,"Culex pipiens densovirus, complete genome",185638,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoambidensovirus,Dipteran protoambidensovirus 1,Culex pipiens densovirus,Culex pipiens densovirus,W162,28400284,131.51276937934844,16,2025-03-31,Wastewater
FJ947080.1,7476,7084,460,9.598553,2.16654,"Human papillomavirus type 115 isolate GC02, complete genome",696746,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 3,human papillomavirus 115,human papillomavirus 115,W162,28400284,16.197021128380264,16,2025-03-31,Wastewater
FJ973560.1,4958,4216,7950,241.74626,56.4596,"Human bocavirus 2b NI strain HBoV2B-NI-213, complete genome",1511881,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Primate bocaparvovirus 2,Human bocavirus 2b NI,Human bocavirus 2b NI,W162,28400284,279.9267781970068,16,2025-03-31,Wastewater
FJ973620.1,6586,2570,87,1.9911436,0.465131,"Astrovirus VA1, complete genome",645687,Viruses,Pisuviricota,Stelpaviricetes,Stellavirales,Astroviridae,Mamastrovirus,Mamastrovirus 9,Astrovirus VA1,Astrovirus VA1,W162,28400284,3.063349648193659,16,2025-03-31,Wastewater
FM955837.2,7466,6981,404,8.56766,1.90533,"Human papillomavirus type 98, complete genome",587347,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,Human papillomavirus 98,Human papillomavirus 98,W162,28400284,14.22520986057745,16,2025-03-31,Wastewater
FM955838.1,7698,2164,61,1.1934288,0.279016,"Human papillomavirus type 99, complete genome",587348,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,Human papillomavirus 99,Human papillomavirus 99,W162,28400284,2.147865845285209,16,2025-03-31,Wastewater
FM955839.1,7380,6875,430,9.33278,2.05158,"Human papillomavirus type 100, complete genome",587349,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 100,Human papillomavirus 100,W162,28400284,15.1406936634859,16,2025-03-31,Wastewater
FM955841.1,7667,4915,222,4.6136756,1.01954,"Human papillomavirus type 105, complete genome",587350,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 1,Human papillomavirus 105,Human papillomavirus 105,W162,28400284,7.816823240218302,16,2025-03-31,Wastewater
FM955842.1,7412,3358,112,2.4380336,0.532059,"Human papillomavirus type 113, complete genome",587351,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 113,Human papillomavirus 113,W162,28400284,3.94362253560563,16,2025-03-31,Wastewater
FN677755.1,7436,3510,146,2.9570408,0.691339,"Human papillomavirus type 150, complete genome, isolate SIBX1",743811,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 5,human papillomavirus 150,human papillomavirus 150,W162,28400284,5.140793662485911,16,2025-03-31,Wastewater
FN677756.1,7386,5666,239,5.0979824,1.13937,"Human papillomavirus type 151, complete genome, isolate SIBX2",743812,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Betapapillomavirus,Betapapillomavirus 2,Human papillomavirus 151,Human papillomavirus 151,W162,28400284,8.415408803658442,16,2025-03-31,Wastewater
FR751463.1,3725,2079,250,10.043916,2.36315,"Torque teno virus complete genome, isolate TTV-HD14a (gbDhDi33.32)",68887,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,unclassified Anelloviridae genus,Torque teno virus,unclassified Torque teno virus subspecies/strain,unclassified Torque teno virus strain,W162,28400284,8.80272887411971,16,2025-03-31,Wastewater
